pair_id,coordinates,q1_range_deg,q2_range_deg,certified_leaf_cells,exact_brep_distance_calls,minimum_guaranteed_clearance_mm,status
BASE_UPPER:COLUMN:J1_H101,J1,-20.000000..70.000000,INVARIANT,1,0,26.329771126,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_PROX_ADAPTER,J1,-20.000000..70.000000,INVARIANT,1,0,46.297823988,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_MEMBER,J1,-20.000000..70.000000,INVARIANT,2,1,18.564351973,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_DIST_ADAPTER,J1,-20.000000..70.000000,INVARIANT,1,0,48.775650570,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:J2_BODY,J1,-20.000000..70.000000,INVARIANT,1,0,32.143140190,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:J2_S102,J1,-20.000000..70.000000,INVARIANT,1,0,64.963747806,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J1_H101,J1,-20.000000..70.000000,INVARIANT,1,0,16.803450150,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_PROX_ADAPTER,J1,-20.000000..70.000000,INVARIANT,1,0,36.771503011,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,-20.000000..70.000000,INVARIANT,2,1,9.038030997,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_DIST_ADAPTER,J1,-20.000000..70.000000,INVARIANT,1,0,39.249329594,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J2_BODY,J1,-20.000000..70.000000,INVARIANT,1,0,22.636277864,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J2_S102,J1,-20.000000..70.000000,INVARIANT,1,0,55.448256206,CERTIFIED_NOMINAL_MODEL_SPACE
