pair_id,coordinates,q1_range_deg,q2_range_deg,certified_leaf_cells,exact_brep_distance_calls,minimum_guaranteed_clearance_mm,status
BASE_UPPER:COLUMN:J1_H101,J1,-20.000000..70.000000,INVARIANT,1,0,26.329771126,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_PROX_ADAPTER,J1,-20.000000..70.000000,INVARIANT,1,0,46.297823988,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:UPPER_MEMBER,J1,-20.000000..70.000000,INVARIANT,2,1,18.564351973,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:P09_FIXED_CATCH,J1,-20.000000..70.000000,INVARIANT,1,0,63.701859218,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:J2_X430,J1,-20.000000..70.000000,INVARIANT,1,0,42.394792102,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:COLUMN:J2_FR12_S102,J1,-20.000000..70.000000,INVARIANT,1,0,67.458155054,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J1_H101,J1,-20.000000..70.000000,INVARIANT,1,0,16.803450150,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_PROX_ADAPTER,J1,-20.000000..70.000000,INVARIANT,1,0,36.771503011,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,-20.000000..70.000000,INVARIANT,2,1,9.038030997,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:P09_FIXED_CATCH,J1,-20.000000..70.000000,INVARIANT,1,0,54.175976795,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J2_X430,J1,-20.000000..70.000000,INVARIANT,1,0,32.893466622,CERTIFIED_NOMINAL_MODEL_SPACE
BASE_UPPER:SHOULDER_SUPPORT:J2_FR12_S102,J1,-20.000000..70.000000,INVARIANT,1,0,57.948684806,CERTIFIED_NOMINAL_MODEL_SPACE
