pair_id,coordinate,q1_lo_deg,q1_hi_deg,q2_lo_deg,q2_hi_deg,center_distance_mm,motion_bound_mm,guaranteed_clearance_mm,distance_method,subdivision_depth,status,required_clearance_mm,evidence_origin
BASE_UPPER:COLUMN:J1_H101,J1,-20.000000000,70.000000000,,,53.716331846,27.386560720,26.329771126,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,81.574483850,35.276659863,46.297823988,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,101.638089554,55.768984562,45.869104992,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:UPPER_MEMBER,J1,25.000000000,70.000000000,,,74.333336535,55.768984562,18.564351973,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:P11_FIXED_CATCH,J1,-20.000000000,70.000000000,,,180.423093384,116.721234166,63.701859218,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:J2_X430,J1,-20.000000000,70.000000000,,,197.998385732,155.603593630,42.394792102,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:COLUMN:J2_FR12_S102,J1,-20.000000000,70.000000000,,,192.329503611,124.871348557,67.458155054,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:J1_H101,J1,-20.000000000,70.000000000,,,44.190010870,27.386560720,16.803450150,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:UPPER_PROX_ADAPTER,J1,-20.000000000,70.000000000,,,72.048162874,35.276659863,36.771503011,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,-20.000000000,25.000000000,,,92.111768577,55.768984562,36.342784016,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,25.000000000,70.000000000,,,64.807015559,55.768984562,9.038030997,AABB_LOWER_BOUND,1,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:P11_FIXED_CATCH,J1,-20.000000000,70.000000000,,,170.897210961,116.721234166,54.175976795,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:J2_X430,J1,-20.000000000,70.000000000,,,188.497060252,155.603593630,32.893466622,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:SHOULDER_SUPPORT:J2_FR12_S102,J1,-20.000000000,70.000000000,,,182.820033363,124.871348557,57.948684806,AABB_LOWER_BOUND,0,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,-20.000000000,2.500000000,,,14.829612349,9.035450787,5.794161562,AABB_LOWER_BOUND,2,CERTIFIED_NOMINAL_MODEL_SPACE,0.750000000,P0.9 IDENTICAL-SOLID PAIR CERTIFICATE REUSED
