pair_id,coordinates,q1_range_deg,q2_range_deg,certified_leaf_cells,exact_brep_distance_calls,minimum_guaranteed_clearance_mm,status
J1_MIN_REGION:BASE_UPPER:COLUMN:J1_H101,J1,-25.000000..-20.000000,INVARIANT,1,0,52.605416224,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:UPPER_PROX_ADAPTER,J1,-25.000000..-20.000000,INVARIANT,1,0,80.924562530,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:UPPER_MEMBER,J1,-25.000000..-20.000000,INVARIANT,1,0,85.499373901,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:UPPER_DIST_ADAPTER,J1,-25.000000..-20.000000,INVARIANT,1,0,177.463572179,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:J2_BODY,J1,-25.000000..-20.000000,INVARIANT,1,0,191.703236567,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:COLUMN:J2_S102,J1,-25.000000..-20.000000,INVARIANT,1,0,187.069151069,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:J1_H101,J1,-25.000000..-20.000000,INVARIANT,1,0,43.080416224,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:UPPER_PROX_ADAPTER,J1,-25.000000..-20.000000,INVARIANT,1,0,71.399562530,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:UPPER_MEMBER,J1,-25.000000..-20.000000,INVARIANT,1,0,75.974373901,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:UPPER_DIST_ADAPTER,J1,-25.000000..-20.000000,INVARIANT,1,0,167.938572179,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:J2_BODY,J1,-25.000000..-20.000000,INVARIANT,1,0,182.262326730,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:SHOULDER_SUPPORT:J2_S102,J1,-25.000000..-20.000000,INVARIANT,1,0,177.561892233,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:J1_BODY:UPPER_PROX_ADAPTER,J1,-25.000000..-20.000000,INVARIANT,1,0,6.149562530,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:J1_BODY:UPPER_MEMBER,J1,-25.000000..-20.000000,INVARIANT,1,0,10.724373901,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:J1_BODY:UPPER_DIST_ADAPTER,J1,-25.000000..-20.000000,INVARIANT,1,0,104.015070206,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:J1_BODY:J2_BODY,J1,-25.000000..-20.000000,INVARIANT,1,0,120.196355720,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:J1_BODY:J2_S102,J1,-25.000000..-20.000000,INVARIANT,1,0,115.049990473,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:J1_S102:UPPER_PROX_ADAPTER,J1,-25.000000..-20.000000,INVARIANT,1,0,58.399562530,CERTIFIED_NOMINAL_MODEL_SPACE
J1_MIN_REGION:BASE_UPPER:J1_S102:UPPER_MEMBER,J1,-25.000000..-20.000000,INVARIANT,1,0,62.974373901,CERTIFIED_NOMINAL_MODEL_SPACE
