net,connection_count,connections
ACT_0V_PE_BONDED,19,01_external_sources.kicad_sch:PSA1:C6P-4 | 01_external_sources.kicad_sch:PSA1:C6P-5 | 01_external_sources.kicad_sch:PSA1:C6P-6 | 01_external_sources.kicad_sch:PSA1:C14-PE | 01_external_sources.kicad_sch:JA1:4 | 01_external_sources.kicad_sch:JA1:5 | 01_external_sources.kicad_sch:JA1:6 | 06_branches_and_injection.kicad_sch:INJ1:TBD-BI-G | 06_branches_and_injection.kicad_sch:INJ1:TBD-A-G | 06_branches_and_injection.kicad_sch:INJ1:TBD-BO-G | 06_branches_and_injection.kicad_sch:INJ2:TBD-BI-G | 06_branches_and_injection.kicad_sch:INJ2:TBD-A-G | 06_branches_and_injection.kicad_sch:INJ2:TBD-BO-G | 06_branches_and_injection.kicad_sch:INJ3:TBD-BI-G | 06_branches_and_injection.kicad_sch:INJ3:TBD-A-G | 09_actuator_interfaces.kicad_sch:U1:TTL-1 | 09_actuator_interfaces.kicad_sch:J1:1 | 09_actuator_interfaces.kicad_sch:J2:1 | 09_actuator_interfaces.kicad_sch:J3:1
ACT_12V_BUS,4,05_actuator_interruption.kicad_sch:KP2:6T3 | 06_branches_and_injection.kicad_sch:F1:1 | 06_branches_and_injection.kicad_sch:F2:1 | 06_branches_and_injection.kicad_sch:F3:1
ACT_12V_FUSED,2,05_actuator_interruption.kicad_sch:F0:2 | 05_actuator_interruption.kicad_sch:SD1:TBD-IN
ACT_12V_RAW,7,01_external_sources.kicad_sch:PSA1:C6P-1 | 01_external_sources.kicad_sch:PSA1:C6P-2 | 01_external_sources.kicad_sch:PSA1:C6P-3 | 01_external_sources.kicad_sch:JA1:1 | 01_external_sources.kicad_sch:JA1:2 | 01_external_sources.kicad_sch:JA1:3 | 05_actuator_interruption.kicad_sch:F0:1
ARM_AFTER_S2,2,03_arm_watchdog_eligibility.kicad_sch:S2:TBD-A2 | 04_contactor_edm.kicad_sch:K1:21
CABLE_SHIELD_TERM,1,09_actuator_interfaces.kicad_sch:JFRAME1:TBD-SHIELD
COMPUTE_0V,3,01_external_sources.kicad_sch:PSU3:USB-C-GND | 07_watchdog_control.kicad_sch:ISO1:TBD-CG | 08_compute_and_control_terminals.kicad_sch:PI1:GND
COMPUTE_5V,2,01_external_sources.kicad_sch:PSU3:USB-C-VBUS | 08_compute_and_control_terminals.kicad_sch:PI1:USB-C-VBUS
DXL_TTL_DATA,12,06_branches_and_injection.kicad_sch:INJ1:TBD-BI-D | 06_branches_and_injection.kicad_sch:INJ1:TBD-A-D | 06_branches_and_injection.kicad_sch:INJ1:TBD-BO-D | 06_branches_and_injection.kicad_sch:INJ2:TBD-BI-D | 06_branches_and_injection.kicad_sch:INJ2:TBD-A-D | 06_branches_and_injection.kicad_sch:INJ2:TBD-BO-D | 06_branches_and_injection.kicad_sch:INJ3:TBD-BI-D | 06_branches_and_injection.kicad_sch:INJ3:TBD-A-D | 09_actuator_interfaces.kicad_sch:U1:TTL-3 | 09_actuator_interfaces.kicad_sch:J1:3 | 09_actuator_interfaces.kicad_sch:J2:3 | 09_actuator_interfaces.kicad_sch:J3:3
EDM_K1_OUT,2,04_contactor_edm.kicad_sch:K1:22 | 04_contactor_edm.kicad_sch:K2:21
