wire_number,sheet,reference,terminal,pin_name,net
W1001,01_external_sources.kicad_sch,PSA1,C14-PE,FACTORY PE / INTERNAL -V BOND,ACT_0V_PE_BONDED
W1002,01_external_sources.kicad_sch,PSA1,C6P-1,+VO 1,ACT_12V_RAW
W1003,01_external_sources.kicad_sch,PSA1,C6P-2,+VO 2,ACT_12V_RAW
W1004,01_external_sources.kicad_sch,PSA1,C6P-3,+VO 3,ACT_12V_RAW
W1005,01_external_sources.kicad_sch,PSA1,C6P-4,-VO 1,ACT_0V_PE_BONDED
W1006,01_external_sources.kicad_sch,PSA1,C6P-5,-VO 2,ACT_0V_PE_BONDED
W1007,01_external_sources.kicad_sch,PSA1,C6P-6,-VO 3,ACT_0V_PE_BONDED
W1008,01_external_sources.kicad_sch,JA1,1,C6P 1,ACT_12V_RAW
W1009,01_external_sources.kicad_sch,JA1,2,C6P 2,ACT_12V_RAW
W1010,01_external_sources.kicad_sch,JA1,3,C6P 3,ACT_12V_RAW
W1011,01_external_sources.kicad_sch,JA1,4,C6P 4,ACT_0V_PE_BONDED
W1012,01_external_sources.kicad_sch,JA1,5,C6P 5,ACT_0V_PE_BONDED
W1013,01_external_sources.kicad_sch,JA1,6,C6P 6,ACT_0V_PE_BONDED
W1014,01_external_sources.kicad_sch,PSU2,P1J-C,CENTER +24V,SAFETY_24V_RAW
W1015,01_external_sources.kicad_sch,PSU2,P1J-S,SLEEVE 0V,SAFETY_0V
W1016,01_external_sources.kicad_sch,JC1,TBD-24+,+24V,SAFETY_24V_RAW
W1017,01_external_sources.kicad_sch,JC1,TBD-24-,0V,SAFETY_0V
W1018,01_external_sources.kicad_sch,JC1,TBD-OUT+,PROTECTED +24V,SAFETY_24V
W1019,01_external_sources.kicad_sch,JC1,TBD-OUT-,0V,SAFETY_0V
W1020,01_external_sources.kicad_sch,PSU3,USB-C-VBUS,+5V COMPUTE,COMPUTE_5V
W1021,01_external_sources.kicad_sch,PSU3,USB-C-GND,COMPUTE GND,COMPUTE_0V
W2001,02_estop_eligibility.kicad_sch,S0,TBD-C1A,CH1 A,SR1_S11
W2002,02_estop_eligibility.kicad_sch,S0,TBD-C2A,CH2 A,SR1_S21
W2003,02_estop_eligibility.kicad_sch,S0,TBD-C1B,CH1 B,WD1_SAFETY_IN
W2004,02_estop_eligibility.kicad_sch,S0,TBD-C2B,CH2 B,WD2_SAFETY_IN
W2005,02_estop_eligibility.kicad_sch,SR1,A1,24V SUPPLY,SAFETY_24V
W2006,02_estop_eligibility.kicad_sch,SR1,A2,0V SUPPLY,SAFETY_0V
W2007,02_estop_eligibility.kicad_sch,SR1,S11,INPUT CH1 FEED,SR1_S11
W2008,02_estop_eligibility.kicad_sch,SR1,S12,INPUT CH1 RETURN / START FEED,SR1_S12
W2009,02_estop_eligibility.kicad_sch,SR1,S21,INPUT CH2 FEED,SR1_S21
W2010,02_estop_eligibility.kicad_sch,SR1,S22,INPUT CH2 RETURN,SR1_S22
W2011,02_estop_eligibility.kicad_sch,SR1,S34,START / EDM RETURN,SR1_START_RETURN
W2012,02_estop_eligibility.kicad_sch,SR1,13,SAFETY OUT1 IN,SRA1_S11
W2013,02_estop_eligibility.kicad_sch,SR1,14,SAFETY OUT1 OUT,SRA1_S12
W2014,02_estop_eligibility.kicad_sch,SR1,23,SAFETY OUT2 IN,SRA1_S21
W2015,02_estop_eligibility.kicad_sch,SR1,24,SAFETY OUT2 OUT,SRA1_S22
W2016,02_estop_eligibility.kicad_sch,SR1,41,AUX NC IN,SAFETY_24V
W2017,02_estop_eligibility.kicad_sch,SR1,Y32,SEMICONDUCTOR STATUS,SR1_STATUS
W2018,02_estop_eligibility.kicad_sch,S1,TBD-R1,RESET IN,SR1_S12
W2019,02_estop_eligibility.kicad_sch,S1,TBD-R2,RESET OUT,SR1_START_RETURN
W2020,02_estop_eligibility.kicad_sch,H1,TBD-H+,+,SR1_STATUS
W2021,02_estop_eligibility.kicad_sch,H1,TBD-H-,-,SAFETY_0V
W3001,03_arm_watchdog_eligibility.kicad_sch,SRA1,A1,24V SUPPLY,SAFETY_24V
W3002,03_arm_watchdog_eligibility.kicad_sch,SRA1,A2,0V SUPPLY,SAFETY_0V
W3003,03_arm_watchdog_eligibility.kicad_sch,SRA1,S11,INPUT CH1 FEED,SRA1_S11
W3004,03_arm_watchdog_eligibility.kicad_sch,SRA1,S12,INPUT CH1 RETURN / START FEED,SRA1_S12
W3005,03_arm_watchdog_eligibility.kicad_sch,SRA1,S21,INPUT CH2 FEED,SRA1_S21
W3006,03_arm_watchdog_eligibility.kicad_sch,SRA1,S22,INPUT CH2 RETURN,SRA1_S22
W3007,03_arm_watchdog_eligibility.kicad_sch,SRA1,S34,START / EDM RETURN,SRA1_START_RETURN
W3008,03_arm_watchdog_eligibility.kicad_sch,SRA1,13,SAFETY OUT1 IN,SAFETY_24V
W3009,03_arm_watchdog_eligibility.kicad_sch,SRA1,14,SAFETY OUT1 OUT,SRA1_K1_RAW
W3010,03_arm_watchdog_eligibility.kicad_sch,SRA1,23,SAFETY OUT2 IN,SAFETY_24V
W3011,03_arm_watchdog_eligibility.kicad_sch,SRA1,24,SAFETY OUT2 OUT,SRA1_K2_RAW
