net,connection_count,connections
ACTION_REQUEST_AUTH,2,03_compute_motion_watchdog.kicad_sch:CPU1:LOG-ACTION | 03_compute_motion_watchdog.kicad_sch:MCU1:LOG-ACTION
ACT_0V_CONTROLLED,11,01_energy_precharge_conversion.kicad_sch:DCDC1:LOG-RET-IN | 01_energy_precharge_conversion.kicad_sch:DCDC1:LOG-RET-OUT | 01_energy_precharge_conversion.kicad_sch:RET1:LOG-ACT | 05_left_leg_rs485.kicad_sch:PBR_RS_LLEG:LOG-RET-IN | 06_right_leg_rs485.kicad_sch:PBR_RS_RLEG:LOG-RET-IN | 07_left_arm_rs485.kicad_sch:PBR_RS_LARM:LOG-RET-IN | 08_right_arm_rs485.kicad_sch:PBR_RS_RARM:LOG-RET-IN | 09_waist_rs485.kicad_sch:PBR_RS_WAIST:LOG-RET-IN | 10_left_distal_ttl.kicad_sch:PBR_TTL_LDIST:LOG-RET-IN | 11_right_distal_ttl.kicad_sch:PBR_TTL_RDIST:LOG-RET-IN | 12_head_ttl_sensors_hmi.kicad_sch:PBR_TTL_HEAD:LOG-RET-IN
ACT_12V_SAFE,4,01_energy_precharge_conversion.kicad_sch:DCDC1:LOG-OUT | 10_left_distal_ttl.kicad_sch:PBR_TTL_LDIST:LOG-IN | 11_right_distal_ttl.kicad_sch:PBR_TTL_RDIST:LOG-IN | 12_head_ttl_sensors_hmi.kicad_sch:PBR_TTL_HEAD:LOG-IN
ACT_14V8_SAFE,7,01_energy_precharge_conversion.kicad_sch:DCDC1:LOG-IN | 02_estop_permit_contactors.kicad_sch:K2:LOG-MOUT | 05_left_leg_rs485.kicad_sch:PBR_RS_LLEG:LOG-IN | 06_right_leg_rs485.kicad_sch:PBR_RS_RLEG:LOG-IN | 07_left_arm_rs485.kicad_sch:PBR_RS_LARM:LOG-IN | 08_right_arm_rs485.kicad_sch:PBR_RS_RARM:LOG-IN | 09_waist_rs485.kicad_sch:PBR_RS_WAIST:LOG-IN
BATT_0V_RAW,2,01_energy_precharge_conversion.kicad_sch:BATT1:LOG-NEG | 01_energy_precharge_conversion.kicad_sch:RET1:LOG-BATT
BATT_POS_RAW,2,01_energy_precharge_conversion.kicad_sch:BATT1:LOG-POS | 01_energy_precharge_conversion.kicad_sch:SD1:LOG-IN
CHARGER_INTERLOCK,2,01_energy_precharge_conversion.kicad_sch:CHG1:LOG-INT | 02_estop_permit_contactors.kicad_sch:SR1:LOG-CHG
CHARGE_POS,1,01_energy_precharge_conversion.kicad_sch:CHG1:LOG-POS
CHARGE_RET,1,01_energy_precharge_conversion.kicad_sch:CHG1:LOG-NEG
CONTACTOR_POS_IN,2,01_energy_precharge_conversion.kicad_sch:PRE1:LOG-MAIN | 02_estop_permit_contactors.kicad_sch:K1:LOG-MIN
EDM_K1,2,02_estop_permit_contactors.kicad_sch:SR1:LOG-EDM1 | 02_estop_permit_contactors.kicad_sch:K1:LOG-MIR
EDM_K2,2,02_estop_permit_contactors.kicad_sch:SR1:LOG-EDM2 | 02_estop_permit_contactors.kicad_sch:K2:LOG-MIR
