zone_id,family,tetrahedra,minimum_sicn,fraction_below_0p20,monitored_min_0p20_gate,warning
C07-MATRIX,C07-MATRIX,736813,0.2039778072115525,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PE-FUSED,C07-PE,137291,0.33256768055664854,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
C07-PF,C07-PF,200685,0.4876425869294434,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-LIGAMENT,HOLE-LIGAMENT,15468,0.3630524669547875,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,5362,0.2878720961980113,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E1-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,4826,0.27996391267063586,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-LIGAMENT,HOLE-LIGAMENT,15521,0.422165572854581,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,5367,0.27252614458694685,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
E2-SINGULAR-RIM-FRONT,HOLE-SINGULAR-RIM,4818,0.2597063684069498,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1-LIGAMENT,HOLE-LIGAMENT,22714,0.3441390299737047,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
H1-SINGULAR-RIM-BACK,HOLE-SINGULAR-RIM,3388,0.30674411214096164,0.0,PASS,"PRELIMINARY - CAD-RESIDENT CONSTRAINED CURVING EVIDENCE ONLY - NOT APPROVED FOR PROCUREMENT, QUOTATION, FABRICATION, ASSEMBLY, CONNECTION, POWERED TESTING, MOTION, OR ENERGIZATION"
